Service Domain,Business Area,Business Domain,functionalPattern,assetType,genericArtefactType,Examples Of Use,Role Definition
Branch Network Management,Business Development,Channel Management,Manage,Branch Network,Management Plan,The branch network is re-configured to accommodate a new or amended product that is targeting a specific customer segment (e.g. student loans at on campus branches),"Configure the available services and products (ATM, office/table and teller assignments) for the branch locations across the overall branch portfolio. (Note an ATM is treated as a specific type of branch location in the BIAN model)"
Card Terminal Administration,Channels,Channel Specific,Allocate,Card POS Device,Allocation,A Merchant is assigned one or more devices or interfaces for processing Card Charge authorization and submission when an Acquiring Bank sets up a new Merchant Account. (Note this can involve a Point of Sale Terminal or an Authorization Link interface to the merchant's own cash register system).,"This service domain is responsible for the allocation of the Point of Sale Terminal of Authorization Link interface to the Merchant, configuring and activating the device or interface, and managing its ongoing status, including replacement of faulty devices or interfaces. The Acquiring Bank configures the terminal or the interface to meet the specific requirements of the Merchant depending on the merchant type, risk and other terms and conditions."
Card Terminal Operation,Channels,Channel Specific,Operate,Card POS Network,Operating Session,Charge transactions that are submitted by a Merchant through Point of Sale Terminals or Authorization Links are recorded by the Acquiring Bank as they are received and are held until the Merchant reconciles and closes a batch on the Terminal or Cash Register at the end of the day or shift. Transactions contained in batches that are closed by the Merchant are then sent for clearing.,This service domain maintains a record of the transactions received from each Point of Sale Terminal or Authorization Link used by the Merchants to submit card charges and is used to help the merchant reconcile the transactions at the end of day or shift. Transactions are forwarded to the Card Clearing service domain when the terminal batches are closed by the merchant. The service domain also monitors the operating status of the terminals and handles terminal replacement.
Contact Center Management,Business Development,Channel Management,Manage,Contact Center,Management Plan,Contact center management re-assigns servicing positions in response to service loading and customer wait times,Handles the oversight and configuration of the contact center. Define and maintain the assignment of contact center resources to different contact traffic types (e.g. product/segment/issue). The contact center facility can include automated 'position' as well as personnel. Also covers troubleshooting major production problems
Contact Center Operations,Channels,Servicing,Administer,Contact Center,Administrative Plan,Contact center operations re-assigns staff to servicing positions to deal with peak loading for a specific product or service type,Oversee and administer the day to day activity in the contact center. This includes the assignment of individuals to servicing positions in compliance with the service configuration determined by Contact Center Management. Also tracking staff availability and utilization during the servicing session and making necessary assignment adjustments to deal with servicing load. (Note servicing resources interact directly with the Contact Routing service domain to indicate when they are open to receive customer contacts)
eBranch Management,Business Development,Channel Management,Manage,eBranch Channel,Management Plan,Management review and define the reconfiguration requirements for the e-branch channel based on capacity/volume projections,"Handles the oversight and configuration of the e-branch (web/data) access channel. This includes assessing capacity, performance, scheduling maintenance and updates to the channel configuration. Also determining allowed access and usage and troubleshooting major production problems"
eBranch Operations,Channels,Channel Specific,Operate,eBranch Channel,Operating Session,customers and non-bank customers browse the products and services available at the bank,"This service domain operates the E-branch production systems conforming to planned service schedules. It handles customer and non-customer access checks, performs device load balancing and device failure and recovery handling - typically supporting a high performance 24/7 operation. It can include the integration of computer telephony integration (CTI) with branch and call center channels"
Product Inventory Distribution,Channels,Distribution,Administer,Product Inventory Distribution,Administrative Plan,"Example of use:
The distribution of 'take-one' product marketing materials distributed through the branch network is administered in support of a product sales campaign. Brochures are ordered and distributed to ensure branches are supplied with sufficient inventory to meet customer demand",The service domains administer the provisioning and distribution of product inventory across the branch network and/or organizing distribution direct to customers (e.g. using mail services) where appropriate. The administration function keeps track of inventory holdings and administers a provisioning schedule to acquire replacement inventory as needed to meet requirements
Product Inventory Item Management,Business Development,Channel Management,Allocate,Product Inventory,Allocation,Newly developed product inventory is distributed as part of a product deployment project,"Maintain the available central product materials inventory in coordination with distribution activities and new product/materials ordering, receipt and warehousing"
Contact Handler,Channels,Cross Channel,Operate,Customer Contact,Operating Session,A customer is self serving on the web and then requests to talk to a servicing representative directory using the VoIP capability presented on the banks web portal.,"BIAN defines a customer contact as the overarching structure handling a customer interaction from start to end. A contact can include one or more servicing dialogue 'sessions' in parallel or sequence to support different device/channel uses within the contact and to allow for the customer to be passed on to different servicing specialists as necessary during the contact. Each session is handled at a servicing position where the Contact Dialogue service domain is called to handle the specific customer interaction. Contact Handler concludes the contact, handles the authorization permissions and shares any contact information collected during the contact between sessions as necessary"
Contact Routing,Channels,Cross Channel,Allocate,Customer Servicing Resource,Allocation,A high value customer contacts the bank. They have been flagged as a sales prospect and so are routed to the next available rep that is registered as being skilled in the specific product of interest and also experienced in sales,Contact Routing is called from Contact Management to identify the next available and most suited servicing resource to handle a servicing session within an active customer contact. Selection is optimized to leverage of specialized/qualified servicing resources based on any known details about the customer and the purpose of their contact with the bank.
Customer Workbench,Channels,Cross Channel,Operate,Customer Workbench,Operating Session,A customer downloads an end-user financial management application offered by the bank,This service domain handles the distribution and operation of a client device based/resident facility to support local working and access to the banks different products and services. It allows for the customer to maintain information and configuration settings remotely to govern their own access environment as necessary. The service domain operates outside the bank but is included in the landscape as it may run application capabilities that are either provided by or certified for use by the bank.
Interactive Help,Channels,Servicing,Operate,interactive Help Service,Operating Session,A new customer servicing representative obtains guidance for a product fulfillment issue raised during a customer contact,Operate the automated facility that provides interactive help and guidance for servicing to employees and self-service customers. The facility automatically determines the context for the help request and selects stored guidance that is presented to the user. The initial selection can be dynamically refined by the user to focus in on specific requirements as necessary. User feedback as to the content and coverage of the guidance can be captured
Party Authentication,Channels,Cross Channel,Assess,Party Authentication,Assessment,A customer is authenticated when making phone contact with the bank's service center,"Customer/party authentication is a cross-channel/device capability that provides identity confirmation for customers accessing the bank through any interactive channel. The service may use a combination of one or more mechanisms to authenticate including issued tokens/devices, virtual mechanisms such as passwords and biometrics such as voice/face recognition. Different levels of authentication may be determined to support different types of access and there may be access permissions associated with the authentication mechanism used"
Point of Service,Channels,Servicing,Operate,Pointof Service,Operating Session,Teller personnel are assigned to teller servicing positions at a branch where they are provided with a cash float and access to consumer product support systems.,"The servicing position supports all point of sale, branch and channel based customer interactions including e-tellers and contact/service center positions. The facility provides access to product and service systems, supports activity tracking and access to other support and administrative systems as necessary. It can include CTI as appropriate. The service domain integrates with the Customer Dialogue service domain for customer session/narrative support when appropriate. The servicing position can be fully automated for some servicing activities"
Service Directory,Channels,Servicing,Catalog,Service,Directory Entry,A customer logs into the bank in order to notify the bank of their change of address. They are presented with a service selection dialogue that enables then to quickly isolate the specific service,"This Service Domain handles the context sensitive presentation and selection of services that a customer may choose from to access the bank. These represent the packaging together of the underlying service interactions with one or more Service Domains as necessary, masking the complexity of the internal structure of the bank's applications from the user. The selected service will align with a workflow followed in the Session Dialogue Service Domain that actually orchestrates the selected service delivery "
Servicing Activity Analysis,Business Development,Channel Management,Analyze,Servicing Root Cause,Analysis,Contact center management reviews servicing activity analysis in order to identify areas where additional training and guidance is needed to improve the customer experience,"Analyze customer servicing position activity, including teller, case/contact center traffic and VoIP activity. Analysis includes captured call/channel/device type, activity, onward routing and resolution decisions for operational and procedural insights and facility/process and training improvement (Root Cause Analysis)"
Servicing Event History,Channels,Servicing,Track,Servicing Event,Log,A servicing contact is concluded and the contact details and result is captured. In cases the call is recorded,"The Servicing Event History service domain captures the details of servicing activity to support root cause analysis. The information captured can include summary details of the servicing activity, product access details and click-stream/voice records as necessary. The captured detail can be analyzed for staff assessment and training and to support procedural refinements"
Session Dialogue,Channels,Cross Channel,Process,Customer Contact Session,Procedure,A customer dials into the contact center with a current account balance request. The customer identity is checked by the servicing representative (using a Party Profile Service Domain call). After the customer initial query has been addressed the dialogue is structured to attempt a sales pitch for an internal campaign that the customer has been pre-approved for as flagged in their Party Profile record,"The customer contact dialogue handling capability can provide highly structured orchestration to streamline a customer interaction by consolidating and presenting customer related data in context. It can also use the session to gather additional customer intelligence. In a more advance implementation the customer interaction capabilities can be integrated into an automated self/service context in addition to the more conventional assisted service model. The structured customer dialogue can include tasks to check for other business activities that can be built into the exchange for example, delivering pending communications, sales/marketing attempts, capturing intelligence/triggers, updating relationship status/details, product fulfillment (such as synchronizing customer-side data). The facility can be designed to support multi-channel/multi-device deployments"
Transaction Authorization,Channels,Cross Channel,Assess,Interactive Transaction,Assessment,A customer payment request from their current account is authorized during an assisted servicing session,This service domain is used to mitigate transaction risk for interactive product and service access fulfillment and works in collaboration with customer identity authentication services. It analyses recent customer activity in order to detect possible out of pattern/fraudulent behavior and authorizes transactions accordingly. The authorization can be subject to obtaining increased levels of customer authentication by requiring the customer to provide additional proof of identity.
Account Recovery,Operations,"Custody, Collateral And Documents",Process,Account Recovery,Procedure,"A non-performing customer account is handed over for recovery after the normal relationship management efforts have failed. Additional authority is provided to renegotiate/structure the account to enable the customer to attempt recovery. This restructuring can result in write downs that need to be booked appropriately
",Handles the recovery of distressed accounts that have exceeded standard late/payment handling but have not yet been fully written off and passed to collections. The restructuring can involve partial write downs and leveraging any tax or other program of assistance that can be applied. The situation is managed until the account is recovered or a decision made to pass the account over to collections
Customer Access Entitlement,Channels,Cross Channel,Agree Terms,Customer Access Profile,Agreement,A consumer customer contacts the call center and her access profile is used to determine what products and services can be accessed through this channel,"This profile is used for servicing and fulfillment controls covering products, services and channel/device usage entitlements. It is referenced for channel access control and utilization limits that may span multiple products. For example there can be a limit on total ATM withdrawals for a customer for all active products over a 24 hour period."
Customer Agreement,Customers,Relationship Management,Agree Terms,Customer,Agreement,An new customer's master agreement is established prior to negotiating and setting up the underlying product specific agreements,The Customer Agreement service domain captures and maintains the master legal terms of conditions in force for a customer (which as noted can be a complex multinational with many underlying product and service specific agreements).
Customer Behavior Insights,Customers,Relationship Management,Analyze,Customer Behavior,Analysis,A regular analysis of customer event histories is used to update the maintained range of customer behavioral insights. The updated results are notified to the Customer Relationship Management and Party Profile Service Domains as appropriate,This service domain references the range of customer historical data maintained by the Customer Event History service domain to develop behavioral insights into customers. This analysis can support sales and marketing activity (e.g. by determining the likely response to sales efforts based on passed performance) as well as identifying changes in status and behavior that might influence the desired product mix for a customer. The actual analysis routines are developed/maintained by the Customer Behavior Models service domain
Customer Credit Rating,Customers,Relationship Management,Monitor,Customer Credit Rating,State,A customer calls the contact center wishing to know what mortgage offers they are eligible for. The customer servicing representative (CSR) uses the customer's internal credit assessment as one input to reference the Product Directory to retrieve the details of available products and terms,"This service domain handles the derivation and maintenance of each customer's credit rating for both consumer and corporate customers. The internal rating can integrate externally provided credit details from credit scoring agencies with internal transactional data and relationship assessments. The credit rating will be maintained based on internal rules, but it is possible that a service will be offered to support an unscheduled recalculation of the credit score"
Customer Event History,Customers,Relationship Management,Track,Customer Event,Log,A customer contacts the call center to enquire about account transactions and during the dialogue the servicing representative detects a life event (e.g. the customer is moving house). The contact details and life event are captured in the customer history,"The service domain captures a wide range of customer events to build a comprehensive history of customer activity that can support subsequent behavioral analysis. This includes key sales/proposal events, relationship management events, product delivery events, detected customer triggers (typically gleaned during servicing dialogues) and possibly externally sourced customer activity. The assembled data is made available for behavioral analysis and for more general reference (as might be used for relationship management for example)"
Customer Product and Service Directory,Customers,Relationship Management,Catalog,Customer Product And Service,Directory Entry,"- Customer Offer inquires on products and services that a customer currently has in order to show them to the customer and help him or her decide on any new product (-variant).
-  A customer acquires a product from the bank. The product is added to his or her list of products in Customer Products and Services.
- The customer relation ship manager checks the current product and service coverage for a customer when putting together their business development plan for the coming cycle.","This Service Domain maintains the details of all products and services that a customer has acquired from the bank.  As such it maintains data of current and past products and services. It includes key product options and features that have been selected and the current availability/state of the customer's product, but does not maintain any details about product usage or balance information. It is the only domain in the model that can provide information on a customer's current products and services."
Customer Product And Service Eligibility,Customers,Relationship Management,Assess,Customer Eligibility,Assessment,,"This Service Domain maintains a list of products and services for which a customer is eligible. This could include products and services that the customer has had in the past. In order to update the list, periodically or at certain events, the Service Domain calls Product Matching to find additional products for which the customer is eligible. Once a customer acquires a product or a service, this is removed from the current list and added to the customer's recording in Customer Products and Services."
Customer Proposition,Customers,Relationship Management,Agree Terms,Customer Proposition,Agreement,The bank determines that the significant long term value of a customer relationship should ensure that certain standard fees are waived to help retain their business and records this requirement in their proposition agreement,This Service Domain enables the bank and customer to establish and maintain product and service fulfillment preferences and requirements that span multiple products
Customer Relationship Management,Customers,Relationship Management,Manage,Customer Relationship,Management Plan,A corporate customer relationship manager reviews recent activity for a customer and notices that levels of activity are trending lower. Possible external (market) and internal (servicing/ fulfillment) activities are reviewed for possible causes. A meeting is scheduled to determine the reason and if any banking products/ services could help or are at further risk,This function handles managed customer relationships. There will typically be a customer development plan and budget/targets for higher value customers. The function may draw on external market insights as well as internal product and service fulfillment to track performance and trigger contact when appropriate. The function is a key source of business development providing product/service matching and awareness. As the primary point of contact the relationship manager can help in issue resolution and trouble shooting. Relationship management applies to corporate and high net-worth clients. Automated knowledge-based facilities may offer some relationship management functions at the consumer banking level in particular for sales and marketing
Party Reference Data Directory,Customers,Party Reference,Catalog,Party Reference Data,Directory Entry,Party reference details are accessed to pre-populate an application form for a new product opportunity with a customer,"The party reference data directory service domain maintains a potentially wide range of party reference data that might be used in any interaction between the bank and the party including relationship development, sales/marketing, servicing and product delivery. This can include general reference and contact details, party associations, demographic details and some servicing preferences. Different information may be maintained for different party types such as individuals, corporates, partners"
Sales Product Agreement,Customers,Relationship Management,Agree Terms,Sales Product Agreement,Agreement,An established customer completes the application process for a new lending product and a new sales product agreement is established,The Sales Product Agreement service domain captures and maintains the legal terms and conditions in force for a sold product. The product specific terms and conditions are subordinate to the terms of the customer master agreement that is maintained by the Customer Agreement service domain. The product contractual terms and conditions influence product and service fulfillment for example by defining applicable fees/rates/penalties and selected features/options. Note that there can be other product configuration features that are not contractually binding - these features are maintained in the associated product/service fulfillment service domain directly
Advertising,Business Development,Marketing And Development,Manage,Advertising Campaign,Management Plan,Business development reviews market research to determine levels of awareness for selected bank products and initiates an advertising campaign to raise awareness,Oversee the use and assess the coverage and impact of advertising campaigns. Direct advertising campaign execution to maximize business impact. Oversee advertising campaign design and development activity.
Brand Management,Business Development,Marketing And Development,Manage,Brand,Management Plan,Product design seeks input from the brand management unit to factor the brand into the product marketing materials and ensure alignment,"Define and develop the enterprise brand, including providing advice and guidance to marketing and product/service development activities that leverage the brand. Respond to events that potentially damage the brand or provide an opportunity to strengthen/leverage brand awareness"
Business Development,Business Development,Marketing And Development,Direct,Business Development,Strategy,Corporate strategy develops targets for new business acquisition in selected market segments,"Define, implement, track and assess the new business development plans for the enterprise or specific business divisions. This can cover business activities such as new market segment entry, product coverage and product specification development, brand development, new customer acquisition and existing customer, cross-sell/up-sell and retention."
Customer Campaign Design,Business Development,Marketing And Development,Design,Customer Campaign,Specification,A retention campaign is updated to provide amended/improved pricing terms that can be offered to targeted customers to help retain their business after a poor response rate has been detected for the campaign,"This Service Domain designs and refines customer campaigns (or integrates designs from external campaign specialists). Customer campaigns target the existing customer base and can be proactive (involving customer targeting, contact and solicitation) or self-service and include activities such as cross-sell, up-sell and retention. Version numbering is used to track the impact of changes made to campaigns over their usage."
Customer Campaign Management,Business Development,Marketing And Development,Manage,Customer Campaign Portfolio,Management Plan,Customer Campaign Management identifies competitor activity that poses a threat to existing customers. Campaign design is initiated to develop a retention campaign to address the threat,Oversee the use and assess the coverage and impact of internal/customer campaigns. Direct customer campaign execution resources to maximize business impact and in response to any identified market opportunities and threats. Oversee campaign design and development activity.
Customer Surveys,Business Development,Marketing And Development,Process,Customer Surveys,Procedure,A bank develops a customer questionnaire to obtain feedback from customers that make frequent use of the self-service contact center facility for service improvement suggestions,"Handle the deployment, execution and on-going refinement of customer surveys. This includes many types of survey including traditional mailshot questionnaires, in production review/feedback solicitation, review panels/focus groups. The survey execution process performs the survey definitions,  selection of reviewers, surveying and post survey analysis"
Promotional Events,Business Development,Marketing And Development,Manage,Promotional Event,Management Plan,Business development reviews market research to select promotional events to sponsor to support the bank brand and enhance market awareness,Develop and execute promotional events covering brand development and advertizing. This can include participation in sporting/entertainment events or more general promotional activity
Prospect Campaign Design,Business Development,Marketing And Development,Design,Prospect Campaign,Specification,A prospect acquisition campaign is updated to provide amended/improved pricing terms that can be offered to targeted prospects poor take-up rate has been detected for the campaign,"This Service Domain designs and refines prospect campaigns (or integrates designs from external campaign specialists). Prospect campaigns target new customer acquisition and are typically proactive (involving prospect targeting, contact and solicitation). Version numbering is used to track the impact of changes made to campaigns over their usage."
Commission Agreement,Operations,External Agency,Agree Terms,Employee Commission,Agreement,"Example of use:
An employee's commission agreement is established once they have qualified to undertake sales activity in the contact center",This service domain sets up and maintains the terms for applying commissions to transactions assigned to employees and representative service brokers or intermediaries
Commissions,Operations,Accounting Services,Transact,Commission,Transaction,"Example of use:
A qualified servicing representative succeeds in selling an opportunity to an established customer and is awarded a commission",Capture and structure commissionable transactions that are subsequently processed against an existing commission agreement
Customer Campaign Execution,Customers,Sales,Process,Customer Campaign,Procedure,A bank implements a targeted cross-sell campaign in the customer servicing center to generate additional sales,"Handle the deployment, execution and on-going refinement of a customer campaign. This includes many types of proactive customer campaigns such as up-sell, cross-sell and customer retention. The campaign execution process performs the initial selection and confirmation of candidate customers and includes providing critical feedback on the impact of the campaign to the design unit to support re-calibration and refinement of the specification based on practical experience"
Customer Offer,Customers,Sales,Process,Customer Offer,Procedure,"An existing customer has discussed short term funding needs with the Financial Advisor and agreed in principle to taking out a corporate loan. The customer offer process is initiated and leads the advisor through the detailed checks, authorizations and documentation needed prior to the final set-up of the Corporate Loan","The Offer Management Service Domain can process offers for all types of customers and any allowed combination of product or service. It references the Product Directory for the product specific offer instructions it must follow. The offer process may combine the selection of product/service specific details (e.g. pricing & negotiation ranges, documentation/authorization/regulatory requirements, eligibility and declarations, credit and other customer details), customer specific details (e.g. credit standing, other classifications such as operational overhead/retention target/activity history, demographics and segmentation). The service domain orchestrates a potentially complex/multi-threaded/multi stage workflow to get the offer to the point where the product/service can be initiated."
Lead and Opportunity Management,Customers,Sales,Process,Leadand Opportunity,Procedure,A lead is identified during a customer servicing interaction and the lead captured for subsequent follow-up,"This service domain captures, evaluates and progresses identified lead/opportunities that may arise during customer relationship development, sales, servicing and fulfillment interactions. It will clarify and confirm the customer's interest and check that the product is suitable and the customer eligible prior to initiating the formal offer process (see service domain Customer Offer)"
Party Lifecycle Management,Customers,Sales,Administer,Party Relationship,Administrative Plan,"A prospective customer has been identified and the bank undertakes a collection of checks to confirm this is a new relationship and to verify the relationship in compliance with bank, legal and regulatory requirements. Note that for different customer types (non consumer in particular) many different checks will be required. ","This service domain tracks the state of a party relationship with the bank from the initial checks made when establishing a new business relationship with a customer or partner and then that are performed as necessary over the duration of the relationship. The checks and the maintenance requirements will vary by party type (e.g. individual, company, partner) and jurisdiction. The checks cover bank specific and legal and regulatory considerations and may be updated based on a standard schedule or by request in specific circumstances."
Product Expert Sales Support,Customers,Sales,Administer,Sales Specialist Support,Administrative Plan,A relationship manager requests specialist support for a customer seeking investment product selection advice,Track availability and utilization and assign product specialists to support sales activity (for both internal customer up-sell and external prospect acquisition activity). This can include the administration of customer fees/charges if applicable
Product Matching,Customers,Sales,Assess,Product/ Customer Combination,Assessment,"Example of use:
A customer servicing representative initiates a product matching dialogue after resolving a disputed payment in favor of the customer, hoping to leverage the positive contact situation to generate additional business opportunities","The service domain implements a decision service (that might be interactive) to isolate the preferred product(s) for which a customer is eligible in a specific servicing situation. The product selection logic will balance factors including customer indicated desired product type/features, customer type/profile, solicitation/retention/enquiry servicing situation, prevailing campaigns/bank preferred products. The decision logic improves product selection to optimize the customer interaction and support business development"
Product Sales Support,Customers,Sales,Administer,Product Sales Support,Administrative Plan,An established corporate customer arranges a meeting with a specialist to discuss short term funding options,Administer the allocation of specialist support to advise on specific products and services
Prospect Campaign Execution,Customers,Sales,Process,Prospect Campaign,Procedure,A bank implements a targeted take-one mailshot acquisition campaign to attract additional customers,"Handle the deployment, execution and on-going refinement of a prospect campaign. This includes many types of proactive prospect acquisition campaigns. The campaign execution process performs the initial selection and confirmation/validation of candidate lists and includes providing critical feedback on the impact of the campaign to the design unit to support re-calibration and refinement of the specification based on practical experience"
Sales Planning,Business Development,Marketing And Development,Direct,Marketing And Sales,Strategy,Sales management review quarterly performance and pipeline and set sales targets and allocations for the upcoming cycle,
Sales Product,Products,Consumer Banking,Agree Terms,Product and Service,Agreement,A bank packages its Current Account product with features suited to students as part of a prospect campaign,A sales product defines specific constraints and terms that augment the features of the base product it 'wraps'. It is used to support customization or core products to address specific market needs and opportunities with more  narrowly targeted products
Underwriting,Products,Loans and Deposits,Assess,Underwriting,Assessment,A corporate loan offer is processed and at the appropriate point an underwriting authorization is requested,"The underwriting decision considers the ability of the borrower to finance the loan based on their known cash flows and credit worthiness. The underwriting decision refers to specific properties of the proposed loan (amount, term, repayment schedule, collateral etc.), the income and known commitments of the borrower and their credit history with the bank. The decision may factor perceived underwriting risks into the interest rate and/or collateral requirements to obtain approval"
Card Case,Customers,Customer Care,Process,Card Case,Procedure,A card holder reports a payment dispute to the contact center and a case is initiated. The account is credited and documentation requested from the merchant. The case is finally judged when the documents are available for review and all interested parties are notified of the resolution,"Capture, track, resolve and report on card related transactional disputes, handling all the dispute resolution messages between the Issuer, the Card Network and the Acquirer."
Case Root Cause Analysis,Business Development,Product Management,Analyze,Customer Case Root Cause,Analysis,"Example of use:
Contact center case resolution records are reviewed to identify recurring issues that can be resolved with improved servicing representative training and guidelines","Analyze customer servicing case resolution records for root cause insights. Analysis can be focused for more specific analysis including: problematic product and service features that can be refined; possible operational weaknesses that might require improved training/guidelines; and, to detect possible credit/fraud patterns"
Customer Case,Customers,Customer Care,Process,Customer Case,Procedure,"A case resolution operator works through the resolution of a case, following the established process for the specific case - in this case a disputed charge that is below a threshold allowing the credit to be charged to the merchant","Case resolution tasks follow specific procedures for the type of case involved. Case resolution can be quick by applying resolution rules and obtaining additional authorization as necessary, or they can be long living activities, for example where documentation is requested and has to be retrieved from merchants or other interested parties before the disputed issue can finally be ruled upon. A wide range of case types can be expected"
Customer Case Management,Customers,Customer Care,Manage,Customer Case,Management Plan,Customer case handling is assessed over a period and the rules and thresholds guiding resolution decisions recalibrated,"Manage customer case handling, track the effectiveness and impact of case resolution. Evaluate and confirm that the decision making rules and thresholds are well balanced in terms of equitable determination with general customer and merchant acceptance of the process. Ensure and that sufficient and appropriately trained resources are available "
Loan Syndication,Customers,Relationship Management,Process,Syndicated Loan Application,Procedure,"A request for a large financing project which will likely require syndication comes in from a corporate customer. Customer Offer will receive the request, it will conduct or refresh the customer onboarding and subsequently pass on the request to Loan Syndication to handle the origination, including the valuation and recording of pledgeable assets, up to the point where the syndicate can be set up and the loan closing (set up completion) stage can start.","Loan Syndication is a Service Domain that supports orgination, set-up and servicing of syndicated loans. It provides services that are used in lead banks, agents and banks providing administrative support.
In the context of the origination process the Service Domain Loan Syndication takes in a request for a loan that will require syndication. The request could come from the Customer Offer Service Domain which will delegate the origination due to the complexity of the process. Loan Syndication orchestrates the handling of the set up, starting with the verification if all conditions for providing a syndicated loan are met. It will call services of Party Asset Directory (recording of pledgeable asstes) and Underwriting before it will pass control to the Syndicate Management Service Domain to actually set up the syndicate.
In the context of servicing Loan Syndication is instrumental in orchestrating processes to transfer participations between lenders, handling of the maturity of a syndicated loan and more."
Payment Initiation,Products,Consumer Banking,Transact,Payment Initiation,Transaction,"An established customer transfers an amount from their current account to an overseas account for a family member. As this is a recurring transaction, the details are maintained and updated as necessary","This service domain supports payment services for consumer and business customers. Payments are made to other accounts within the bank, other banks and possibly internationally using whatever payments mechanism is suited to the transaction (See Payments Order/Execution). The service domain can support single transactions, or manage repeating/scheduled payments if requested"
Servicing Issue,Channels,Servicing,Process,Servicing Issue,Procedure,A servicing representative notes that the guidelines for a particular product are confusing and result in frequent customer enquiries. The apparent shortfall is raised to management for review,"Capture, track, resolve and report on the more general customer servicing issues that may arise in the servicing center. Note that this does not include the handling of specific customer cases (such as a payment dispute) Servicing issues typically requiring some kind of follow-up by the contact service representative (CSR), production support services or their management"
Servicing Mandate,Customers,Customer Care,Agree Terms,Servicing Mandate,Agreement,A third party provider has accessed the bank on behalf of a customer to initiate payment for a purchased product. The bank checks that the service provider is permitted to perform payments in general and whether there are specific constrains for this customer,The Servicing Mandate service domain maintains an agreement between the bank and an external party that governs/constrains the allowed access given to the bank's products and services. This access permission can be defined at two levels - overall for the service provider and at a more detailed level as applied to a specific customer.
Servicing Order,Customers,Customer Care,Process,Servicing Order,Procedure,A customer changes address and requests that all of their product and service arrangements are updated,The Servicing Order service domain handles the processing of a request that may impact multiple products and services and may involve processing cycles/steps and possibly have associated fees/charges. There can be several types of standard 'servicing order' defined for selection as appropriate. A servicing order can be initiated by a customer directly or may be requested on their behalf by an authorized third party service provider. If the request is made by a third party service provider on behalf of a customer the process can include a check that the associated permissions/mandates are in place
Financial Accounting,Operations,Accounting Services,Track,Financial Booking,Log,"- Upon opening of a consumer loan account the fulfillment Service Domain will use a generic Service Connection ""Update GL Accounts"" to trigger Financial Accounting to record the new general ledger of sub ledger accounts.
- At the end of a day's banking operations Financial Accounting will retrieve all of today's bookings on Position Keeping and create (summary) entries for the general ledger and sub ledger accounts.","The Financial Accounting Service Domain takes in financial facts and based on these, creates accounting instructions. It lives in the accounting world of the bank and can access the banking, cards and securities worlds only for retrieve operations. It knows and maintains the chart of accounts and it can create accounting instructions that will update the general ledger and sub ledger accounts.
Examples of financial facts are the opening of a loan account, revaluation of collateral and periodically (e.g. daily): position changes as a result of payments transactions."
Prospect Campaign Management,Business Development,Marketing And Development,Manage,Prospect Campaign Portfolio,Management Plan,Prospect Campaign Management identifies competitor activity that is targeting an untapped market segment. Campaign design is initiated to develop a competitive acquisition campaign to address the threat,Oversee the use and assess the coverage and impact of external/prospect campaigns. Direct prospect campaign execution resources to maximize business impact and in response to any identified market opportunities and threats. Oversee campaign design and development activity.
Trade Settlement,Products,Market Operations,Process,Trade Settlement,Procedure,A market trade that has been cleared is passed for final settlement processing,Market trade that have been cleared are passed for settlement as handled by this Service Domain. The clearing process will have obtained confirmation and acceptance of the trade details and ensured that cash and securities are available in the respective depository accounts. Settlement processing orchestrates the movement of cash and securities between the accounts as required to complete/settle the trade. Different settlement mechanisms can be available depending on the type of instrument and marketplace being used
